"2024-01-21","Google Ads","Search","Fintech","UAE","59886","2113","0.0353","1.2600","2662.38","159","16.7400","4803.43","1.8000","1"
"2024-04-07","TikTok Ads","Display","Healthcare","UAE","131678","8374","0.0636","0.9100","7620.34","505","15.0900","29682.01","3.9000","2"
"2024-02-05","TikTok Ads","Video","SaaS","UK","123680","8373","0.0677","0.6000","5023.80","263","19.1000","12412.26","2.4700","3"
"2024-08-10","TikTok Ads","Display","SaaS","India","72293","4532","0.0627","1.8100","8202.92","169","48.5400","35145.36","4.2800","4"
"2024-05-13","Google Ads","Video","E-commerce","Australia","34402","1314","0.0382","3.2900","4323.06","17","254.3000","1273.24","0.2900","5"
"2024-06-24","Google Ads","Search","Fintech","UK","117660","6388","0.0543","1.8100","11562.28","331","34.9300","17255.28","1.4900","6"
"2024-01-22","TikTok Ads","Search","EdTech","UK","135608","5220","0.0385","1.1800","6159.60","411","14.9900","64126.68","10.4100","7"
"2024-10-08","Meta Ads","Video","Healthcare","Germany","58276","1183","0.0203","1.4900","1762.67","89","19.8100","20273.71","11.5000","8"
"2024-09-02","Meta Ads","Video","Fintech","Canada","76916","2761","0.0359","0.7100","1960.31","64","30.6300","14368.24","7.3300","9"
"2024-06-15","TikTok Ads","Video","Healthcare","USA","92313","5991","0.0649","0.8500","5092.35","267","19.0700","10489.07","2.0600","10"
"2024-01-02","TikTok Ads","Shopping","SaaS","Germany","83953","5935","0.0707","1.3200","7834.20","296","26.4700","50505.07","6.4500","11"
"2024-08-14","Google Ads","Shopping","EdTech","Canada","168059","3462","0.0206","3.0800","10662.96","154","69.2400","33243.77","3.1200","12"
"2024-02-17","Meta Ads","Video","E-commerce","Canada","150631","5648","0.0375","1.9400","10957.12","111","98.7100","21671.90","1.9800","13"
"2024-02-17","Google Ads","Shopping","Fintech","Germany","78402","4531","0.0578","2.7500","12460.25","105","118.6700","25620.07","2.0600","14"
"2024-02-22","TikTok Ads","Search","Healthcare","UK","91807","4489","0.0489","1.9300","8663.77","107","80.9700","3369.53","0.3900","15"
"2024-08-16","Meta Ads","Video","Fintech","Canada","91123","1567","0.0172","2.3300","3651.11","64","57.0500","5119.10","1.4000","16"
"2024-02-19","Google Ads","Display","Fintech","Australia","126635","4254","0.0336","1.3300","5657.82","313","18.0800","28110.42","4.9700","17"
"2024-10-15","TikTok Ads","Search","Fintech","Canada","17666","724","0.0410","0.3700","267.88","23","11.6500","5220.85","19.4900","18"
"2024-08-14","Meta Ads","Video","Fintech","USA","118252","3748","0.0317","0.4200","1574.16","152","10.3600","12838.56","8.1600","19"
"2024-10-25","TikTok Ads","Display","E-commerce","Canada","160892","9122","0.0567","0.6400","5838.08","590","9.9000","170654.73","29.2300","20"
"2024-03-14","TikTok Ads","Search","EdTech","USA","154092","8860","0.0575","1.1700","10366.20","246","42.1400","23706.53","2.2900","21"
"2024-05-28","Meta Ads","Shopping","Fintech","Australia","16344","452","0.0277","0.9000","406.80","5","81.3600","1102.53","2.7100","22"
"2024-03-26","TikTok Ads","Video","SaaS","UAE","99457","5808","0.0584","1.6000","9292.80","80","116.1600","12231.10","1.3200","23"
"2024-04-05","TikTok Ads","Search","EdTech","UAE","92939","5176","0.0557","0.6600","3416.16","388","8.8000","96298.69","28.1900","24"
"2024-04-17","Meta Ads","Display","EdTech","Germany","30939","937","0.0303","0.5900","552.83","63","8.7800","16531.03","29.9000","25"
"2024-12-14","Google Ads","Video","EdTech","India","159721","3625","0.0227","1.9100","6923.75","150","46.1600","39701.58","5.7300","26"
"2024-09-01","Meta Ads","Shopping","Healthcare","UAE","150698","4581","0.0304","0.5100","2336.31","285","8.2000","32525.45","13.9200","27"
"2024-01-10","Meta Ads","Shopping","Healthcare","UAE","73323","1928","0.0263","1.7100","3296.88","121","27.2500","33634.99","10.2000","28"
"2024-06-07","Meta Ads","Video","E-commerce","India","57375","843","0.0147","1.6100","1357.23","40","33.9300","9739.81","7.1800","29"
"2024-04-17","Google Ads","Display","E-commerce","UAE","115017","2771","0.0241","2.5600","7093.76","95","74.6700","22528.38","3.1800","30"
"2024-04-14","TikTok Ads","Search","EdTech","Canada","98348","3225","0.0328","1.2700","4095.75","59","69.4200","2846.94","0.7000","31"
"2024-08-03","Meta Ads","Search","E-commerce","USA","110603","2377","0.0215","0.6900","1640.13","62","26.4500","2761.12","1.6800","32"
"2024-01-17","TikTok Ads","Video","SaaS","India","58521","3318","0.0567","1.8500","6138.30","39","157.3900","10013.26","1.6300","33"
"2024-10-04","TikTok Ads","Search","SaaS","USA","48361","2713","0.0561","0.8700","2360.31","54","43.7100","7890.90","3.3400","34"
"2024-11-13","Google Ads","Shopping","Fintech","USA","8748","362","0.0414","1.2100","438.02","10","43.8000","966.57","2.2100","35"
"2024-09-28","Meta Ads","Search","EdTech","USA","90431","1853","0.0205","1.7000","3150.10","57","55.2600","14834.93","4.7100","36"
"2024-04-22","Meta Ads","Video","E-commerce","UAE","98264","3144","0.0320","1.5600","4904.64","129","38.0200","23127.27","4.7200","37"
"2024-05-11","TikTok Ads","Display","Healthcare","UAE","179870","7500","0.0417","1.4400","10800.00","112","96.4300","5446.79","0.5000","38"
"2024-10-06","TikTok Ads","Search","E-commerce","Canada","114850","8234","0.0717","1.6300","13421.42","245","54.7800","35478.84","2.6400","39"
"2024-09-11","Meta Ads","Video","Fintech","Canada","173229","5092","0.0294","1.7200","8758.24","65","134.7400","12320.17","1.4100","40"
"2024-03-13","Meta Ads","Search","E-commerce","USA","140566","5046","0.0359","0.6200","3128.52","384","8.1500","59980.19","19.1700","41"
"2024-05-26","Meta Ads","Video","SaaS","Canada","147483","2138","0.0145","0.5700","1218.66","159","7.6600","42434.18","34.8200","42"
"2024-02-29","Google Ads","Shopping","SaaS","USA","116472","4006","0.0344","2.6800","10736.08","291","36.8900","78428.38","7.3100","43"
"2024-02-28","Meta Ads","Search","EdTech","Germany","133583","3954","0.0296","0.6500","2570.10","255","10.0800","31756.12","12.3600","44"
"2024-04-08","Google Ads","Video","E-commerce","USA","198555","13104","0.0660","2.4600","32235.84","336","95.9400","58794.32","1.8200","45"
"2024-01-18","Google Ads","Shopping","E-commerce","UAE","76792","3317","0.0432","3.1000","10282.70","262","39.2500","42043.84","4.0900","46"
"2024-09-23","Meta Ads","Display","Healthcare","UK","88560","1319","0.0149","0.5200","685.88","81","8.4700","8584.02","12.5200","47"
"2024-04-22","TikTok Ads","Shopping","EdTech","Canada","37711","2111","0.0560","0.6800","1435.48","92","15.6000","13898.86","9.6800","48"
